config,prf_feedback_docs,prf_expansion_terms,ap,p@5,r@5,ndcg@5,p@10,r@10,ndcg@10,avg_latency_ms,p95_latency_ms
baseline,3,5,0.5602133778919494,0.9,0.39295288045288046,0.8572770168322131,0.7,0.584298618048618,0.7344707211665282,11.26910001039505,33.20259996689856
expansion,3,5,0.5922371874157588,0.95,0.4108100233100233,0.9072770168322132,0.74,0.6131081418581419,0.7708414285288856,14.494859986007214,34.887999994680285
prf,3,5,0.5602133778919494,0.9,0.39295288045288046,0.8572770168322131,0.7,0.584298618048618,0.7344707211665282,26.77004497963935,69.54509997740388
full,3,5,0.5922371874157588,0.95,0.4108100233100233,0.9072770168322132,0.74,0.6131081418581419,0.7708414285288856,30.366894975304604,69.04669990763068
